Unnamed: 0,Player,Team,Age,Height,Weight,Position,Goals,Assists,YellowCards,RedCards,PassCompletionRate,DistanceCovered,Sprints,ShotsOnTarget,TacklesWon,CleanSheets,PlayerFatigue,MatchPressure,InjuryHistory,TrainingHours,FatigueInjuryCorrelation,PressurePerformanceImpact,EffectiveTraining,Season
0,Player C,Team C,31,164.2382365,64.89955397,Defender,11,2,4,3,81.64491168,10.88300115,42,4,22,6,0.374540119,55,0,18.39059471,1.86490201,1.416666667,247.0747629,2022
1,Player D,Team C,22,164.4896429,55.6361591,Defender,2,16,8,2,76.28801787,5.650023688,17,6,27,6,0.950714306,96,8,15.01721859,0.222857322,6.666666667,216.0660446,2019
2,Player A,Team C,27,343.2978655,89.32584969,Defender,,13,8,0,78.2472649,9.236842052,2,6,23,5,0.731993942,36,8,17.96608437,0,8,359.936777,2022
3,Player C,Team C,29,184.567349,50.95230768,Forward,13,1,3,3,99.74274028,8.52357629,58,5,3,4,0.598658484,37,4,19.34721646,0.077486774,2.142857143,271.3479107,2020
4,Player C,Team C,27,192.172813,78.83288083,Defender,6,8,1,2,51.4306364,7.239479413,61,3,12,8,0.15601864,14,1,6.884614657,1.029822394,9.857142857,112.1859522,2022
5,Player D,Team A,28,195.9700123,55.13688117,Forward,6,,1,4,95.74860805,8.119712677,38,7,23,1,0.15599452,27,8,6.448808454,1.51780466,1.285714286,,2020
6,Player A,Team C,19,184.9501354,78.36580481,Midfielder,13,,8,3,92.09453808,5.005241041,90,11,0,2,0.058083612,83,7,17.0511174,3.712316988,5.785714286,,2020
7,Player A,Team C,22,160.2252525,52.79525325,Goalkeeper,11,,8,1,,8.240935435,63,1,18,8,0.866176146,31,9,17.99189089,1.919914782,7.75,,2020
8,Player C,Team A,24,167.4526711,108.4652082,Goalkeeper,,1,2,0,94.04731768,5.784083422,72,12,29,1,0.601115012,73,9,13.75642131,0.757937283,,,2020
9,Player B,Team A,23,,64.68172958,Goalkeeper,26,3,4,2,82.42806212,14.21302173,80,12,19,2,0.708072578,81,5,10.49000822,5.126407668,2.925925926,539.6323304,2020
10,Player C,Team A,39,174.532979,,Defender,,13,4,2,94.46772584,5.7433288,59,7,4,5,0.020584494,83,6,14.78944454,1.079609681,,,2019
